id,name,is_Male,is_Female
93456,Steve Carell,1,0
602,Will Smith,1,0
330,Jeff Goldblum,1,0
953,Ben Stiller,1,0
9693,Clive Owen,1,0
36657,Patrick Stewart,1,0
8909,Angelina Jolie,0,1
9802,Sean Connery,1,0
950,Ray Romano,1,0
1824,Adam Sandler,1,0
2976,John Travolta,1,0
11026,Stellan Skarsgård,1,0
332,Matthew Broderick,1,0
75656,Jesse Eisenberg,1,0
38365,Adam Sandler,1,0
594,Tom Hanks,1,0
15189,Emma Roberts,0,1
11678,Chris O'Donnell,1,0
6538,Tom Hanks,1,0
10555,Will Smith,1,0
1125,Jamie Foxx,1,0
4551,John Travolta,1,0
612,Eric Bana,1,0
9567,Bruce Willis,1,0
37821,Katherine Heigl,0,1
203801,Henry Cavill,1,0
2539,Adam Sandler,1,0
9297,Ryan Newman,0,1
3172,Bruce Willis,1,0
6520,Sean Connery,1,0
1439,Jodie Foster,0,1
37958,Mickey Rourke,1,0
2026,Bruce Willis,1,0
7450,Matt Damon,1,0
11375,Harrison Ford,1,0
9425,Kurt Russell,1,0
25769,Lou Taylor Pucci,1,0
23685,Brendan Fraser,1,0
11866,Dennis Quaid,1,0
9741,Bruce Willis,1,0
211672,Sandra Bullock,0,1
23629,Emily Browning,0,1
8688,Nicolas Cage,1,0
10153,Dustin Hoffman,1,0
153518,Jason Sudeikis,1,0
8676,Matthew McConaughey,1,0
20829,Adam Sandler,1,0
4349,Jamie Foxx,1,0
9718,Will Ferrell,1,0
10808,Eddie Murphy,1,0
197,Mel Gibson,1,0
25,Jamie Foxx,1,0
35,Dan Castellaneta,1,0
11086,Jim Carrey,1,0
10477,Kip Pardue,1,0
1997,Maï Anh Le,0,1
6947,Bryce Dallas Howard,0,1
3050,Eddie Murphy,1,0
2675,Mel Gibson,1,0
809,Mike Myers,1,0
920,Owen Wilson,1,0
4806,Julia Roberts,0,1
7451,Vin Diesel,1,0
228165,Tom Kenny,1,0
3595,Mel Gibson,1,0
16869,Brad Pitt,1,0
879,Robin Williams,1,0
1573,Bruce Willis,1,0
9257,Samuel L. Jackson,1,0
1903,Tom Cruise,1,0
9697,Paul Giamatti,1,0
395,Sanaa Lathan,0,1
23398,Zachary Levi,1,0
10590,Mel Gibson,1,0
117263,Gerard Butler,1,0
200,Patrick Stewart,1,0
44943,Aaron Eckhart,1,0
587,Ewan McGregor,1,0
10395,Jack Nicholson,1,0
57212,Tom Hiddleston,1,0
152760,Matt Damon,1,0
2756,Ed Harris,1,0
33909,Michael Douglas,1,0
49017,Luke Evans,1,0
9882,Denzel Washington,1,0
2270,Claire Danes,0,1
978,Brad Pitt,1,0
44564,Kevin James,1,0
3132,Anthony Hopkins,1,0
8814,Dwayne Johnson,1,0
8427,Eddie Murphy,1,0
52520,Kate Beckinsale,0,1
80585,Julianne Hough,0,1
10592,Bruce Willis,1,0
49021,Jason Statham,1,0
11535,Chris Klein,1,0
10550,Antonio Banderas,1,0
11258,Morgan Freeman,1,0
12610,Chris Rock,1,0
59981,Lea Michele,0,1
201088,Chris Hemsworth,1,0
5137,Jude Law,1,0
3093,Sharon Stone,0,1
107846,Sylvester Stallone,1,0
188207,Kellan Lutz,1,0
4614,Ben Affleck,1,0
24021,Kristen Stewart,0,1
11371,Robert De Niro,1,0
20352,Steve Carell,1,0
11517,Wesley Snipes,1,0
214756,Mark Wahlberg,1,0
26428,Rachel Weisz,0,1
9824,Ben Stiller,1,0
48988,Owen Wilson,1,0
9008,Al Pacino,1,0
300673,Chris Pine,1,0
12113,Leonardo DiCaprio,1,0
38778,Steve Carell,1,0
72331,Benjamin Walker,1,0
1844,Sean Connery,1,0
846,David Duchovny,1,0
9703,Colin Firth,1,0
857,Tom Hanks,1,0
136797,Aaron Paul,1,0
3981,Helen Hunt,0,1
425,Ray Romano,1,0
6171,Morgan Freeman,1,0
72976,Daniel Day-Lewis,1,0
603,Keanu Reeves,1,0
568,Tom Hanks,1,0
9021,Tim Allen,1,0
82695,Hugh Jackman,1,0
9489,Tom Hanks,1,0
12133,Will Ferrell,1,0
9342,Antonio Banderas,1,0
41733,Robert Downey Jr.,1,0
227306,Jack O'Connell,1,0
