revenue,popularity,runtime,budget,vote_average,prod_comp_count,country_release_count,Drama,Comedy,Adventure,Action,Crime,Fantasy,Romance,Thriller,is_male,is_female,main_lead,id,original_title,genre_1,genre_2,genre_3,director,release_year,vote_count,,,,,,,,,,,,,,
374218673,115.040024,140,1.50E+08,7.5,0.6,0.2,0,0,0,1,0,0,0,0,1,0,Christian Bale,272,Batman Begins,Action,Crime,Drama,Christopher Nolan,2005,7359,,,,,,,,,,,,,,
373062864,5.954334,107,1.50E+08,6.2,0.8,0.1,0,0,1,0,0,0,0,0,1,0,Hugh Jackman,2080,X-Men Origins: Wolverine,Adventure,Action,Thriller,Gavin Hood,2009,4021,,,,,,,,,,,,,,
356613439,67.447636,138,1.50E+08,6.5,0.4,0.2,0,0,0,0,0,0,0,1,1,0,Tom Hanks,13448,Angels & Demons,Thriller,Mystery,NA,Ron Howard,2009,2129,,,,,,,,,,,,,,
335154643,62.169881,116,1.50E+08,6.2,0.2,0.1,0,0,1,0,0,0,0,0,1,0,Jake Gyllenhaal,9543,Prince of Persia: The Sands of Time,Adventure,Fantasy,Action,Mike Newell,2010,2317,,,,,,,,,,,,,,
333932083,60.269279,166,1.50E+08,7.3,0.3,0.1,0,0,0,0,0,1,0,0,0,1,Cate Blanchett,4922,The Curious Case of Benjamin Button,Fantasy,Drama,Thriller,David Fincher,2008,3292,,,,,,,,,,,,,,
318502923,33.769336,103,1.50E+08,4.7,0.5,0.1,0,0,0,1,0,0,0,0,1,0,Noah Ringer,10196,The Last Airbender,Action,Adventure,Family,M. Night Shyamalan,2010,1151,,,,,,,,,,,,,,
292817841,26.710398,88,1.50E+08,5.1,0.3,0.1,0,0,0,0,0,1,0,0,1,0,Sam Rockwell,19585,G-Force,Fantasy,Action,Adventure,Hoyt Yeatman,2009,510,,,,,,,,,,,,,,
245527149,50.306728,113,1.50E+08,5.7,0.7,0.2,0,1,0,0,0,0,0,0,1,0,Johnny Depp,62213,Dark Shadows,Comedy,Fantasy,NA,Tim Burton,2012,2320,,,,,,,,,,,,,,
215283742,35.580815,109,1.50E+08,5.8,0.5,0.1,0,0,0,0,0,1,0,0,1,0,Nicolas Cage,27022,The Sorcerer's Apprentice,Fantasy,Adventure,Action,Jon Turteltaub,2010,1470,,,,,,,,,,,,,,
212011111,36.973031,138,1.50E+08,6.9,0.4,0.1,0,0,1,0,0,0,0,0,1,0,Russell Crowe,8619,Master and Commander: The Far Side of the World,Adventure,NA,NA,Peter Weir,2003,790,,,,,,,,,,,,,,
